series,pcgs_id,name,designation
Lincoln Cent (Wheat Reverse) (1909-1958),2429,1909,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2430,1909,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2431,1909,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2423,1909 VDB,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2424,1909 VDB,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2425,1909 VDB,RD
Lincoln Cent (Wheat Reverse) (1909-1958),82423,1909 VDB Doubled Die Obverse,BN
Lincoln Cent (Wheat Reverse) (1909-1958),82424,1909 VDB Doubled Die Obverse,RB
Lincoln Cent (Wheat Reverse) (1909-1958),82425,1909 VDB Doubled Die Obverse,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2432,1909-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2433,1909-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2434,1909-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),92432,1909-S/S S/Horizontal S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),92433,1909-S/S S/Horizontal S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),92434,1909-S/S S/Horizontal S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2426,1909-S VDB,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2427,1909-S VDB,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2428,1909-S VDB,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2435,1910,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2436,1910,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2437,1910,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2438,1910-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2439,1910-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2440,1910-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2441,1911,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2442,1911,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2443,1911,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2444,1911-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2445,1911-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2446,1911-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2447,1911-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2448,1911-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2449,1911-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2450,1912,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2451,1912,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2452,1912,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2453,1912-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2454,1912-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2455,1912-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2456,1912-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2457,1912-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2458,1912-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2459,1913,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2460,1913,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2461,1913,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2462,1913-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2463,1913-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2464,1913-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2465,1913-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2466,1913-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2467,1913-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2468,1914,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2469,1914,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2470,1914,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2471,1914-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2472,1914-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2473,1914-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2474,1914-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2475,1914-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2476,1914-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2477,1915,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2478,1915,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2479,1915,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2480,1915-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2481,1915-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2482,1915-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2483,1915-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2484,1915-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2485,1915-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2486,1916,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2487,1916,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2488,1916,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2489,1916-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2490,1916-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2491,1916-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2492,1916-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2493,1916-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2494,1916-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2495,1917,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2496,1917,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2497,1917,RD
Lincoln Cent (Wheat Reverse) (1909-1958),92495,1917 Doubled Die Obverse,BN
Lincoln Cent (Wheat Reverse) (1909-1958),92496,1917 Doubled Die Obverse,RB
Lincoln Cent (Wheat Reverse) (1909-1958),92497,1917 Doubled Die Obverse,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2498,1917-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2499,1917-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2500,1917-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2501,1917-S,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2502,1917-S,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2503,1917-S,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2504,1918,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2505,1918,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2506,1918,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2507,1918-D,BN
Lincoln Cent (Wheat Reverse) (1909-1958),2508,1918-D,RB
Lincoln Cent (Wheat Reverse) (1909-1958),2509,1918-D,RD
Lincoln Cent (Wheat Reverse) (1909-1958),2510,1918-S,BN
