series,pcgs_id,name,designation
Roosevelt Dime (1946 to Date),5082,1946,MS
Roosevelt Dime (1946 to Date),85082,1946,FB
Roosevelt Dime (1946 to Date),5083,1946-D,MS
Roosevelt Dime (1946 to Date),85083,1946-D,FB
Roosevelt Dime (1946 to Date),5084,1946-S,MS
Roosevelt Dime (1946 to Date),85084,1946-S,FB
Roosevelt Dime (1946 to Date),5085,1947,MS
Roosevelt Dime (1946 to Date),85085,1947,FB
Roosevelt Dime (1946 to Date),5086,1947-D,MS
Roosevelt Dime (1946 to Date),85086,1947-D,FB
Roosevelt Dime (1946 to Date),511022,1947-D DDO FS-102,MS
Roosevelt Dime (1946 to Date),5087,1947-S,MS
Roosevelt Dime (1946 to Date),95087,1947-S,PL
Roosevelt Dime (1946 to Date),85087,1947-S,FB
Roosevelt Dime (1946 to Date),5088,1948,MS
Roosevelt Dime (1946 to Date),85088,1948,FB
Roosevelt Dime (1946 to Date),5089,1948-D,MS
Roosevelt Dime (1946 to Date),85089,1948-D,FB
Roosevelt Dime (1946 to Date),5090,1948-S,MS
Roosevelt Dime (1946 to Date),85090,1948-S,FB
Roosevelt Dime (1946 to Date),985090,1948-S,FB PL
Roosevelt Dime (1946 to Date),5091,1949,MS
Roosevelt Dime (1946 to Date),85091,1949,FB
Roosevelt Dime (1946 to Date),5092,1949-D,MS
Roosevelt Dime (1946 to Date),85092,1949-D,FB
Roosevelt Dime (1946 to Date),5093,1949-S,MS
Roosevelt Dime (1946 to Date),85093,1949-S,FB
Roosevelt Dime (1946 to Date),5094,1950,MS
Roosevelt Dime (1946 to Date),85094,1950,FB
Roosevelt Dime (1946 to Date),5095,1950-D,MS
Roosevelt Dime (1946 to Date),85095,1950-D,FB
Roosevelt Dime (1946 to Date),5096,1950-S,MS
Roosevelt Dime (1946 to Date),85096,1950-S,FB
Roosevelt Dime (1946 to Date),5097,1951,MS
Roosevelt Dime (1946 to Date),85097,1951,FB
Roosevelt Dime (1946 to Date),5098,1951-D,MS
Roosevelt Dime (1946 to Date),85098,1951-D,FB
Roosevelt Dime (1946 to Date),5099,1951-S,MS
Roosevelt Dime (1946 to Date),95099,1951-S,PL
Roosevelt Dime (1946 to Date),85099,1951-S,FB
Roosevelt Dime (1946 to Date),5100,1952,MS
Roosevelt Dime (1946 to Date),85100,1952,FB
Roosevelt Dime (1946 to Date),5101,1952-D,MS
Roosevelt Dime (1946 to Date),85101,1952-D,FB
Roosevelt Dime (1946 to Date),5102,1952-S,MS
Roosevelt Dime (1946 to Date),85102,1952-S,FB
Roosevelt Dime (1946 to Date),5103,1953,MS
Roosevelt Dime (1946 to Date),85103,1953,FB
Roosevelt Dime (1946 to Date),5104,1953-D,MS
Roosevelt Dime (1946 to Date),85104,1953-D,FB
Roosevelt Dime (1946 to Date),5105,1953-S,MS
Roosevelt Dime (1946 to Date),85105,1953-S,FB
Roosevelt Dime (1946 to Date),5106,1954,MS
Roosevelt Dime (1946 to Date),85106,1954,FB
Roosevelt Dime (1946 to Date),5107,1954-D,MS
Roosevelt Dime (1946 to Date),85107,1954-D,FB
Roosevelt Dime (1946 to Date),5108,1954-S,MS
Roosevelt Dime (1946 to Date),85108,1954-S,FB
Roosevelt Dime (1946 to Date),5109,1955,MS
Roosevelt Dime (1946 to Date),85109,1955,FB
Roosevelt Dime (1946 to Date),5110,1955-D,MS
Roosevelt Dime (1946 to Date),85110,1955-D,FB
Roosevelt Dime (1946 to Date),5111,1955-S,MS
Roosevelt Dime (1946 to Date),85111,1955-S,FB
Roosevelt Dime (1946 to Date),5112,1956,MS
Roosevelt Dime (1946 to Date),85112,1956,FB
Roosevelt Dime (1946 to Date),5113,1956-D,MS
Roosevelt Dime (1946 to Date),85113,1956-D,FB
Roosevelt Dime (1946 to Date),5114,1957,MS
Roosevelt Dime (1946 to Date),85114,1957,FB
Roosevelt Dime (1946 to Date),5115,1957-D,MS
Roosevelt Dime (1946 to Date),85115,1957-D,FB
Roosevelt Dime (1946 to Date),5116,1958,MS
Roosevelt Dime (1946 to Date),85116,1958,FB
Roosevelt Dime (1946 to Date),5117,1958-D,MS
Roosevelt Dime (1946 to Date),85117,1958-D,FB
Roosevelt Dime (1946 to Date),5118,1959,MS
Roosevelt Dime (1946 to Date),85118,1959,FB
Roosevelt Dime (1946 to Date),5119,1959-D,MS
Roosevelt Dime (1946 to Date),85119,1959-D,FB
