series,pcgs_id,name,designation
Classic Head Cent (1808-1814),1543,1808,BN
Classic Head Cent (1808-1814),1544,1808,RB
Classic Head Cent (1808-1814),1546,1809,BN
Classic Head Cent (1808-1814),36467,1809 Sheldon-280,RB
Classic Head Cent (1808-1814),1549,1810,BN
Classic Head Cent (1808-1814),1550,1810,RB
Classic Head Cent (1808-1814),1552,1810/09,BN
Classic Head Cent (1808-1814),1553,1810/09,RB
Classic Head Cent (1808-1814),1555,1811,BN
Classic Head Cent (1808-1814),1556,1811,RB
Classic Head Cent (1808-1814),1557,1811,RD
Classic Head Cent (1808-1814),1558,1811/0,BN
Classic Head Cent (1808-1814),1561,1812 Small Date,BN
Classic Head Cent (1808-1814),1562,1812 Small Date,RB
Classic Head Cent (1808-1814),1564,1812 Large Date,BN
Classic Head Cent (1808-1814),1570,1813,BN
Classic Head Cent (1808-1814),36515,"1813 S-293 SRS: R2",RB
Classic Head Cent (1808-1814),1576,1814 Plain 4,BN
Classic Head Cent (1808-1814),1577,1814 Plain 4,RB
Classic Head Cent (1808-1814),1573,1814 Crosslet 4,BN
