series,pcgs_id,name,designation
Jefferson Nickel (1938 to Date),84065,1959,FS
Jefferson Nickel (1938 to Date),4066,1959-D,MS
Jefferson Nickel (1938 to Date),84066,1959-D,FS
Jefferson Nickel (1938 to Date),4067,1960,MS
Jefferson Nickel (1938 to Date),84067,1960,FS
Jefferson Nickel (1938 to Date),4068,1960-D,MS
Jefferson Nickel (1938 to Date),4069,1961,MS
Jefferson Nickel (1938 to Date),84069,1961,FS
Jefferson Nickel (1938 to Date),4070,1961-D,MS
Jefferson Nickel (1938 to Date),84070,1961-D,FS
Jefferson Nickel (1938 to Date),4071,1962,MS
Jefferson Nickel (1938 to Date),84071,1962,FS
Jefferson Nickel (1938 to Date),4072,1962-D,MS
Jefferson Nickel (1938 to Date),84072,1962-D,FS
Jefferson Nickel (1938 to Date),4073,1963,MS
Jefferson Nickel (1938 to Date),84073,1963,FS
Jefferson Nickel (1938 to Date),4074,1963-D,MS
Jefferson Nickel (1938 to Date),84074,1963-D,FS
Jefferson Nickel (1938 to Date),4075,1964,MS
Jefferson Nickel (1938 to Date),84075,1964,FS
Jefferson Nickel (1938 to Date),4076,1964-D,MS
Jefferson Nickel (1938 to Date),84076,1964-D,FS
Jefferson Nickel (1938 to Date),94076,1964-D,FS PL
Jefferson Nickel (1938 to Date),4016,1942-P Type 2 Silver,MS
Jefferson Nickel (1938 to Date),84016,1942-P Type 2 Silver,FS
Jefferson Nickel (1938 to Date),4017,1942-S Silver,MS
Jefferson Nickel (1938 to Date),84017,1942-S Silver,FS
Jefferson Nickel (1938 to Date),4018,1943-P,MS
Jefferson Nickel (1938 to Date),84018,1943-P,FS
Jefferson Nickel (1938 to Date),4174,1943-P Doubled Die Obverse,MS
Jefferson Nickel (1938 to Date),84174,1943-P Doubled Die Obverse,FS
Jefferson Nickel (1938 to Date),4019,1943/2-P,MS
Jefferson Nickel (1938 to Date),84019,1943/2-P,FS
Jefferson Nickel (1938 to Date),4020,1943-D,MS
Jefferson Nickel (1938 to Date),84020,1943-D,FS
Jefferson Nickel (1938 to Date),4021,1943-S,MS
Jefferson Nickel (1938 to Date),84021,1943-S,FS
Jefferson Nickel (1938 to Date),4022,1944-P,MS
Jefferson Nickel (1938 to Date),84022,1944-P,FS
Jefferson Nickel (1938 to Date),4023,1944-D,MS
Jefferson Nickel (1938 to Date),84023,1944-D,FS
Jefferson Nickel (1938 to Date),4024,1944-S,MS
Jefferson Nickel (1938 to Date),84024,1944-S,FS
Jefferson Nickel (1938 to Date),4025,1945-P,MS
Jefferson Nickel (1938 to Date),84025,1945-P,FS
Jefferson Nickel (1938 to Date),4173,1945-P Doubled Die Reverse,MS
Jefferson Nickel (1938 to Date),84173,1945-P Doubled Die Reverse,FS
Jefferson Nickel (1938 to Date),4026,1945-D,MS
Jefferson Nickel (1938 to Date),84026,1945-D,FS
Jefferson Nickel (1938 to Date),4027,1945-S,MS
Jefferson Nickel (1938 to Date),84027,1945-S,FS
Jefferson Nickel (1938 to Date),4077,1965,MS
Jefferson Nickel (1938 to Date),84077,1965,FS
Jefferson Nickel (1938 to Date),4078,1966,MS
Jefferson Nickel (1938 to Date),84078,1966,FS
Jefferson Nickel (1938 to Date),4079,1967,MS
Jefferson Nickel (1938 to Date),4080,1968-D,MS
Jefferson Nickel (1938 to Date),84080,1968-D,FS
Jefferson Nickel (1938 to Date),4081,1968-S,MS
Jefferson Nickel (1938 to Date),84081,1968-S,FS
Jefferson Nickel (1938 to Date),4082,1969-D,MS
Jefferson Nickel (1938 to Date),84082,1969-D,FS
Jefferson Nickel (1938 to Date),4083,1969-S,MS
Jefferson Nickel (1938 to Date),4084,1970-D,MS
Jefferson Nickel (1938 to Date),84084,1970-D,FS
Jefferson Nickel (1938 to Date),4085,1970-S,MS
Jefferson Nickel (1938 to Date),84085,1970-S,FS
Jefferson Nickel (1938 to Date),4086,1971,MS
Jefferson Nickel (1938 to Date),84086,1971,FS
Jefferson Nickel (1938 to Date),4087,1971-D,MS
Jefferson Nickel (1938 to Date),84087,1971-D,FS
Jefferson Nickel (1938 to Date),4088,1972,MS
Jefferson Nickel (1938 to Date),84088,1972,FS
Jefferson Nickel (1938 to Date),4089,1972-D,MS
Jefferson Nickel (1938 to Date),84089,1972-D,FS
Jefferson Nickel (1938 to Date),4090,1973,MS
Jefferson Nickel (1938 to Date),84090,1973,FS
Jefferson Nickel (1938 to Date),4091,1973-D,MS
Jefferson Nickel (1938 to Date),84091,1973-D,FS
Jefferson Nickel (1938 to Date),4092,1974,MS
Jefferson Nickel (1938 to Date),84092,1974,FS
Jefferson Nickel (1938 to Date),4093,1974-D,MS
Jefferson Nickel (1938 to Date),84093,1974-D,FS
Jefferson Nickel (1938 to Date),4094,1975,MS
Jefferson Nickel (1938 to Date),84094,1975,FS
Jefferson Nickel (1938 to Date),4095,1975-D,MS
Jefferson Nickel (1938 to Date),84095,1975-D,FS
Jefferson Nickel (1938 to Date),4096,1976,MS
Jefferson Nickel (1938 to Date),84096,1976,FS
Jefferson Nickel (1938 to Date),4097,1976-D,MS
Jefferson Nickel (1938 to Date),84097,1976-D,FS
Jefferson Nickel (1938 to Date),4098,1977,MS
Jefferson Nickel (1938 to Date),84098,1977,FS
Jefferson Nickel (1938 to Date),4099,1977-D,MS
Jefferson Nickel (1938 to Date),84099,1977-D,FS
Jefferson Nickel (1938 to Date),4100,1978,MS
Jefferson Nickel (1938 to Date),84100,1978,FS
Jefferson Nickel (1938 to Date),4101,1978-D,MS
Jefferson Nickel (1938 to Date),84101,1978-D,FS
Jefferson Nickel (1938 to Date),4102,1979,MS
Jefferson Nickel (1938 to Date),84102,1979,FS
Jefferson Nickel (1938 to Date),4103,1979-D,MS
Jefferson Nickel (1938 to Date),84103,1979-D,FS
Jefferson Nickel (1938 to Date),4104,1980-P,MS
Jefferson Nickel (1938 to Date),84104,1980-P,FS
Jefferson Nickel (1938 to Date),4105,1980-D,MS
Jefferson Nickel (1938 to Date),84105,1980-D,FS
Jefferson Nickel (1938 to Date),4106,1981-P,MS
Jefferson Nickel (1938 to Date),84106,1981-P,FS
Jefferson Nickel (1938 to Date),4107,1981-D,MS
Jefferson Nickel (1938 to Date),84107,1981-D,FS
Jefferson Nickel (1938 to Date),4108,1982-P,MS
Jefferson Nickel (1938 to Date),84108,1982-P,FS
Jefferson Nickel (1938 to Date),4109,1982-D,MS
Jefferson Nickel (1938 to Date),84109,1982-D,FS
Jefferson Nickel (1938 to Date),4110,1983-P,MS
Jefferson Nickel (1938 to Date),84110,1983-P,FS
Jefferson Nickel (1938 to Date),4111,1983-D,MS
Jefferson Nickel (1938 to Date),84111,1983-D,FS
Jefferson Nickel (1938 to Date),4112,1984-P,MS
Jefferson Nickel (1938 to Date),84112,1984-P,FS
Jefferson Nickel (1938 to Date),4113,1984-D,MS
Jefferson Nickel (1938 to Date),84113,1984-D,FS
Jefferson Nickel (1938 to Date),4114,1985-P,MS
Jefferson Nickel (1938 to Date),84114,1985-P,FS
Jefferson Nickel (1938 to Date),4115,1985-D,MS
Jefferson Nickel (1938 to Date),84115,1985-D,FS
Jefferson Nickel (1938 to Date),4116,1986-P,MS
Jefferson Nickel (1938 to Date),84116,1986-P,FS
Jefferson Nickel (1938 to Date),4117,1986-D,MS
Jefferson Nickel (1938 to Date),84117,1986-D,FS
Jefferson Nickel (1938 to Date),4118,1987-P,MS
Jefferson Nickel (1938 to Date),84118,1987-P,FS
Jefferson Nickel (1938 to Date),4119,1987-D,MS
Jefferson Nickel (1938 to Date),84119,1987-D,FS
Jefferson Nickel (1938 to Date),4120,1988-P,MS
Jefferson Nickel (1938 to Date),84120,1988-P,FS
Jefferson Nickel (1938 to Date),4121,1988-D,MS
Jefferson Nickel (1938 to Date),84121,1988-D,FS
Jefferson Nickel (1938 to Date),4122,1989-P,MS
Jefferson Nickel (1938 to Date),84122,1989-P,FS
Jefferson Nickel (1938 to Date),4123,1989-D,MS
Jefferson Nickel (1938 to Date),84123,1989-D,FS
Jefferson Nickel (1938 to Date),4124,1990-P,MS
Jefferson Nickel (1938 to Date),84124,1990-P,FS
Jefferson Nickel (1938 to Date),4125,1990-D,MS
Jefferson Nickel (1938 to Date),84125,1990-D,FS
Jefferson Nickel (1938 to Date),4126,1991-P,MS
Jefferson Nickel (1938 to Date),84126,1991-P,FS
Jefferson Nickel (1938 to Date),4127,1991-D,MS
Jefferson Nickel (1938 to Date),84127,1991-D,FS
Jefferson Nickel (1938 to Date),4128,1992-P,MS
Jefferson Nickel (1938 to Date),84128,1992-P,FS
Jefferson Nickel (1938 to Date),4129,1992-D,MS
Jefferson Nickel (1938 to Date),84129,1992-D,FS
Jefferson Nickel (1938 to Date),4130,1993-P,MS
Jefferson Nickel (1938 to Date),84130,1993-P,FS
Jefferson Nickel (1938 to Date),4131,1993-D,MS
Jefferson Nickel (1938 to Date),84131,1993-D,FS
Jefferson Nickel (1938 to Date),4132,1994-P,MS
Jefferson Nickel (1938 to Date),84132,1994-P,FS
Jefferson Nickel (1938 to Date),4133,1994-D,MS
Jefferson Nickel (1938 to Date),84133,1994-D,FS
Jefferson Nickel (1938 to Date),4136,1995-P,MS
Jefferson Nickel (1938 to Date),84136,1995-P,FS
Jefferson Nickel (1938 to Date),4135,1995-D,MS
Jefferson Nickel (1938 to Date),84135,1995-D,FS
Jefferson Nickel (1938 to Date),4137,1996-P,MS
Jefferson Nickel (1938 to Date),84137,1996-P,FS
Jefferson Nickel (1938 to Date),4138,1996-D,MS
Jefferson Nickel (1938 to Date),84138,1996-D,FS
Jefferson Nickel (1938 to Date),4139,1997-P,MS
Jefferson Nickel (1938 to Date),84139,1997-P,FS
Jefferson Nickel (1938 to Date),4141,1997-D,MS
Jefferson Nickel (1938 to Date),84141,1997-D,FS
Jefferson Nickel (1938 to Date),4142,1998-P,MS
Jefferson Nickel (1938 to Date),84142,1998-P,FS
Jefferson Nickel (1938 to Date),4143,1998-D,MS
Jefferson Nickel (1938 to Date),84143,1998-D,FS
Jefferson Nickel (1938 to Date),94143,1998-D,FS PL
Jefferson Nickel (1938 to Date),4144,1999-P,MS
Jefferson Nickel (1938 to Date),84144,1999-P,FS
Jefferson Nickel (1938 to Date),4145,1999-D,MS
Jefferson Nickel (1938 to Date),84145,1999-D,FS
Jefferson Nickel (1938 to Date),4146,2000-P,MS
Jefferson Nickel (1938 to Date),84146,2000-P,FS
Jefferson Nickel (1938 to Date),4147,2000-D,MS
Jefferson Nickel (1938 to Date),84147,2000-D,FS
Jefferson Nickel (1938 to Date),4148,2001-P,MS
Jefferson Nickel (1938 to Date),84148,2001-P,FS
Jefferson Nickel (1938 to Date),4149,2001-D,MS
Jefferson Nickel (1938 to Date),84149,2001-D,FS
Jefferson Nickel (1938 to Date),4150,2002-P,MS
Jefferson Nickel (1938 to Date),84150,2002-P,FS
Jefferson Nickel (1938 to Date),4151,2002-D,MS
Jefferson Nickel (1938 to Date),84151,2002-D,FS
Jefferson Nickel (1938 to Date),4152,2003-P,MS
Jefferson Nickel (1938 to Date),84152,2003-P,FS
Jefferson Nickel (1938 to Date),4153,2003-D,MS
Jefferson Nickel (1938 to Date),84153,2003-D,FS
Jefferson Nickel (1938 to Date),4154,2004-P Peace Medal,MS
Jefferson Nickel (1938 to Date),4155,2004-D Peace Medal,MS
Jefferson Nickel (1938 to Date),4156,2004-P Keel Boat,MS
Jefferson Nickel (1938 to Date),4157,2004-D Keel Boat,MS
Jefferson Nickel (1938 to Date),4158,2005-P Bison,MS
Jefferson Nickel (1938 to Date),4159,2005-D Bison,MS
Jefferson Nickel (1938 to Date),84159,2005-D Speared Bison,MS
Jefferson Nickel (1938 to Date),4160,2005-P Western Waters,MS
Jefferson Nickel (1938 to Date),4161,2005-D Western Waters,MS
Jefferson Nickel (1938 to Date),4162,2006-P Monticello,MS
Jefferson Nickel (1938 to Date),84162,2006-P Monticello,FS
Jefferson Nickel (1938 to Date),4163,2006-D Monticello,MS
Jefferson Nickel (1938 to Date),84163,2006-D Monticello,FS
Jefferson Nickel (1938 to Date),149708,2007-P,FS
Jefferson Nickel (1938 to Date),149711,2007-D,MS
Jefferson Nickel (1938 to Date),149712,2007-D,FS
Jefferson Nickel (1938 to Date),394914,2008-P,MS
Jefferson Nickel (1938 to Date),394915,2008-P,FS
Jefferson Nickel (1938 to Date),394918,2008-D,MS
Jefferson Nickel (1938 to Date),394919,2008-D,FS
