series,pcgs_id,name,designation
Lincoln Cent (Modern) (1959 to Date),2979,1975-D,RD
Lincoln Cent (Modern) (1959 to Date),2982,1976,RD
Lincoln Cent (Modern) (1959 to Date),2985,1976-D,RD
Lincoln Cent (Modern) (1959 to Date),2986,1977,RD
Lincoln Cent (Modern) (1959 to Date),2987,1977-D,RD
Lincoln Cent (Modern) (1959 to Date),2992,1978,RD
Lincoln Cent (Modern) (1959 to Date),2989,1978-D,RD
Lincoln Cent (Modern) (1959 to Date),2995,1979,RD
Lincoln Cent (Modern) (1959 to Date),2998,1979-D,RD
Lincoln Cent (Modern) (1959 to Date),3001,1980,RD
Lincoln Cent (Modern) (1959 to Date),3004,1980-D,RD
Lincoln Cent (Modern) (1959 to Date),3043,1981,RD
Lincoln Cent (Modern) (1959 to Date),3037,1981-D,RD
Lincoln Cent (Modern) (1959 to Date),3047,1982,RD
Lincoln Cent (Modern) (1959 to Date),146015,1982 Bronze Large Date,BN
Lincoln Cent (Modern) (1959 to Date),146016,1982 Bronze Large Date,RB
Lincoln Cent (Modern) (1959 to Date),146017,1982 Bronze Large Date,RD
Lincoln Cent (Modern) (1959 to Date),146018,1982 Bronze Small Date,BN
Lincoln Cent (Modern) (1959 to Date),146019,1982 Bronze Small Date,RB
Lincoln Cent (Modern) (1959 to Date),146020,1982 Bronze Small Date,RD
Lincoln Cent (Modern) (1959 to Date),146024,1982-D Bronze,RD
Lincoln Cent (Modern) (1959 to Date),3049,1982-D,RB
Lincoln Cent (Modern) (1959 to Date),3050,1982-D,RD
Lincoln Cent (Modern) (1959 to Date),146027,1982 Zinc Large Date,RD
Lincoln Cent (Modern) (1959 to Date),146030,1982 Zinc Small Date,RD
Lincoln Cent (Modern) (1959 to Date),518069,1982 Zn SD DDR FS-1801,RB
Lincoln Cent (Modern) (1959 to Date),146033,1982-D Zinc Large Date,RD
Lincoln Cent (Modern) (1959 to Date),146036,1982-D Zinc Small Date,RD
Lincoln Cent (Modern) (1959 to Date),38060,1983,BN
Lincoln Cent (Modern) (1959 to Date),3052,1983,RB
Lincoln Cent (Modern) (1959 to Date),3053,1983,RD
Lincoln Cent (Modern) (1959 to Date),3054,1983 Doubled Die Reverse,BN
Lincoln Cent (Modern) (1959 to Date),3055,1983 Doubled Die Reverse,RB
Lincoln Cent (Modern) (1959 to Date),3056,1983 Doubled Die Reverse,RD
Lincoln Cent (Modern) (1959 to Date),3051,1983-D,RD
Lincoln Cent (Modern) (1959 to Date),3057,1984,BN
Lincoln Cent (Modern) (1959 to Date),3058,1984,RB
Lincoln Cent (Modern) (1959 to Date),3059,1984,RD
Lincoln Cent (Modern) (1959 to Date),3060,1984 Doubled Die Obverse,BN
Lincoln Cent (Modern) (1959 to Date),3061,1984 Doubled Die Obverse,RB
Lincoln Cent (Modern) (1959 to Date),3062,1984 Doubled Die Obverse,RD
Lincoln Cent (Modern) (1959 to Date),3066,1984-D,BN
Lincoln Cent (Modern) (1959 to Date),3067,1984-D,RB
Lincoln Cent (Modern) (1959 to Date),3068,1984-D,RD
Lincoln Cent (Modern) (1959 to Date),3071,1985,RD
Lincoln Cent (Modern) (1959 to Date),3074,1985-D,RD
Lincoln Cent (Modern) (1959 to Date),3124,1986,RD
Lincoln Cent (Modern) (1959 to Date),3121,1986-D,RD
Lincoln Cent (Modern) (1959 to Date),3065,1987,RD
Lincoln Cent (Modern) (1959 to Date),3080,1987-D,RD
Lincoln Cent (Modern) (1959 to Date),38089,1988,BN
Lincoln Cent (Modern) (1959 to Date),3102,1988,RB
Lincoln Cent (Modern) (1959 to Date),3103,1988,RD
Lincoln Cent (Modern) (1959 to Date),83105,1988-D,BN
Lincoln Cent (Modern) (1959 to Date),3104,1988-D,RB
Lincoln Cent (Modern) (1959 to Date),3105,1988-D,RD
Lincoln Cent (Modern) (1959 to Date),3077,1989,RD
Lincoln Cent (Modern) (1959 to Date),3089,1989-D,RD
Lincoln Cent (Modern) (1959 to Date),3083,1990,RD
Lincoln Cent (Modern) (1959 to Date),3086,1990-D,RD
