series,pcgs_id,name,designation
Flowing Hair Large Cent (1793-1796),1340,1793 Flowing Hair AMERI.,BN
Flowing Hair Large Cent (1793-1796),1341,1793 Flowing Hair AMERICA,BN
Flowing Hair Large Cent (1793-1796),1342,1793 Flowing Hair AMERICA,RB
Flowing Hair Large Cent (1793-1796),91341,1793 Flowing Hair Periods,BN
Flowing Hair Large Cent (1793-1796),1347,1793 Liberty Cap/Vine and Bars Edge,BN
Flowing Hair Large Cent (1793-1796),1348,1793 Liberty Cap/Vine and Bars Edge,RB
Flowing Hair Large Cent (1793-1796),1350,1793 Liberty Cap/Lettered Edge,BN
Flowing Hair Large Cent (1793-1796),1353,"1793 Liberty Cap/Strawberry Leaf 4 known",BN
Flowing Hair Large Cent (1793-1796),1359,1793 Liberty Cap,BN
Flowing Hair Large Cent (1793-1796),1362,1794 Head of 1793,BN
Flowing Hair Large Cent (1793-1796),901374,1794 Head of 1794,BN
Flowing Hair Large Cent (1793-1796),901375,1794 Head of 1794,RB
Flowing Hair Large Cent (1793-1796),1365,1794 Head of 1795,BN
Flowing Hair Large Cent (1793-1796),1366,1794 Head of 1795,RB
Flowing Hair Large Cent (1793-1796),1374,"1794 Starred Reverse Est. 60 known",BN
Flowing Hair Large Cent (1793-1796),911374,1794 No Fraction Bar,BN
Flowing Hair Large Cent (1793-1796),911375,1794 No Fraction Bar,RB
Flowing Hair Large Cent (1793-1796),1377,1795 Lettered Edge,BN
Flowing Hair Large Cent (1793-1796),1378,1795 Lettered Edge,RB
Flowing Hair Large Cent (1793-1796),1380,1795 Plain Edge,BN
Flowing Hair Large Cent (1793-1796),1381,1795 Plain Edge,RB
Flowing Hair Large Cent (1793-1796),1383,"1795 Reeded Edge 10 known",BN
Flowing Hair Large Cent (1793-1796),1386,"1795 Jefferson Head, Plain Edge Est. 30 known",BN
Flowing Hair Large Cent (1793-1796),1389,"1795 Jeff Head, Let Edge 5 known",BN
Flowing Hair Large Cent (1793-1796),1392,1796,BN
Flowing Hair Large Cent (1793-1796),1393,1796,RB
