series,pcgs_id,name
Flowing Hair Half Dollar (1794-1795),6051,1794
Flowing Hair Half Dollar (1794-1795),6052,1795
Flowing Hair Half Dollar (1794-1795),6053,"1795/1795 Recut Date, 3 Leaves"
Flowing Hair Half Dollar (1794-1795),6055,"1795/1795 Recut Date, 2 Leaves"
Flowing Hair Half Dollar (1794-1795),6054,1795 Small Head
Flowing Hair Half Dollar (1794-1795),39252,1795 A over E
